waktu,harga
14/03/2024,81090
15/03/2024,80000
16/03/2024,90670
17/03/2024,85730
18/03/2024,84340
19/03/2024,75040
20/03/2024,71220
21/03/2024,68390
22/03/2024,67810
23/03/2024,62700
24/03/2024,65810
25/03/2024,65780
26/03/2024,61540
27/03/2024,58800
28/03/2024,57920
29/03/2024,55550
30/03/2024,53190
31/03/2024,52080
01/04/2024,53620
02/04/2024,53620
03/04/2024,55040
04/04/2024,55280
05/04/2024,57210
06/04/2024,58070
07/04/2024,64100
08/04/2024,64140
09/04/2024,69580
10/04/2024,53811
11/04/2024,53811
12/04/2024,64190
13/04/2024,63380
14/04/2024,61690
15/04/2024,56430
16/04/2024,54660
17/04/2024,54840
18/04/2024,51940
19/04/2024,49130
20/04/2024,49180
21/04/2024,48610
22/04/2024,52120
23/04/2024,50480
24/04/2024,50560
25/04/2024,48740
26/04/2024,51010
27/04/2024,48280
28/04/2024,47470
29/04/2024,46690
30/04/2024,47490
01/05/2024,47180
02/05/2024,45960
03/05/2024,48360
04/05/2024,44720
05/05/2024,47180
06/05/2024,47760
07/05/2024,46260
08/05/2024,47760
09/05/2024,45690
10/05/2024,45780
11/05/2024,41740
12/05/2024,39750
13/05/2024,40590
14/05/2024,41200
15/05/2024,41200
16/05/2024,42540
17/05/2024,43480
18/05/2024,41730
19/05/2024,43680
20/05/2024,42830
21/05/2024,44220
22/05/2024,45070
23/05/2024,43830
24/05/2024,41730
25/05/2024,42030
26/05/2024,43830
27/05/2024,44630
28/05/2024,42410
29/05/2024,42290
30/05/2024,42930
31/05/2024,42200
01/06/2024,38540
02/06/2024,41490
03/06/2024,41490
04/06/2024,41490
05/06/2024,44940
06/06/2024,42830
07/06/2024,42920
08/06/2024,42950
09/06/2024,41710
10/06/2024,43230
11/06/2024,49040
12/06/2024,49390
13/06/2024,51650
14/06/2024,54730
15/06/2024,55560
16/06/2024,51610
17/06/2024,65000
18/06/2024,60000
19/06/2024,52600
20/06/2024,52670
21/06/2024,49920
22/06/2024,46640
23/06/2024,48810
24/06/2024,43260
25/06/2024,42570
26/06/2024,44760
27/06/2024,46910
28/06/2024,46420
29/06/2024,44660
30/06/2024,46420
01/07/2024,42630
02/07/2024,43430
03/07/2024,44090
04/07/2024,46210
05/07/2024,47430
06/07/2024,47430
07/07/2024,47940
08/07/2024,49510
09/07/2024,50360
10/07/2024,48680
11/07/2024,49640
12/07/2024,50610
13/07/2024,49980
14/07/2024,52010
15/07/2024,50490
16/07/2024,60250
17/07/2024,61840
18/07/2024,67040
19/07/2024,75660
20/07/2024,73100
21/07/2024,66200
22/07/2024,63570
23/07/2024,65980
24/07/2024,77720
25/07/2024,74050
26/07/2024,82210
27/07/2024,75460
28/07/2024,69540
29/07/2024,79400
30/07/2024,84850
31/07/2024,78630
