waktu,harga
2024-03-14,81090
2024-03-15,80000
2024-03-16,90670
2024-03-17,85730
2024-03-18,84340
2024-03-19,75040
2024-03-20,71220
2024-03-21,68390
2024-03-22,67810
2024-03-23,62700
2024-03-24,65810
2024-03-25,65780
2024-03-26,61540
2024-03-27,58800
2024-03-28,57920
2024-03-29,55550
2024-03-30,53190
2024-03-31,52080
2024-04-01,53620
2024-04-02,53620
2024-04-03,55040
2024-04-04,55280
2024-04-05,57210
2024-04-06,58070
2024-04-07,64100
2024-04-08,64140
2024-04-09,69580
2024-04-10,53811
2024-04-11,53811
2024-04-12,64190
2024-04-13,63380
2024-04-14,61690
2024-04-15,56430
2024-04-16,54660
2024-04-17,54840
2024-04-18,51940
2024-04-19,49130
2024-04-20,49180
2024-04-21,48610
2024-04-22,52120
2024-04-23,50480
2024-04-24,50560
2024-04-25,48740
2024-04-26,51010
2024-04-27,48280
2024-04-28,47470
2024-04-29,46690
2024-04-30,47490
2024-05-01,47180
2024-05-02,45960
2024-05-03,48360
2024-05-04,44720
2024-05-05,47180
2024-05-06,47760
2024-05-07,46260
2024-05-08,47760
2024-05-09,45690
2024-05-10,45780
2024-05-11,41740
2024-05-12,39750
2024-05-13,40590
2024-05-14,41200
2024-05-15,41200
2024-05-16,42540
2024-05-17,43480
2024-05-18,41730
2024-05-19,43680
2024-05-20,42830
2024-05-21,44220
2024-05-22,45070
2024-05-23,43830
2024-05-24,41730
2024-05-25,42030
2024-05-26,43830
2024-05-27,44630
2024-05-28,42410
2024-05-29,42290
2024-05-30,42930
2024-05-31,42200
2024-06-01,38540
2024-06-02,41490
2024-06-03,41490
2024-06-04,41490
2024-06-05,44940
2024-06-06,42830
2024-06-07,42920
2024-06-08,42950
2024-06-09,41710
2024-06-10,43230
2024-06-11,49040
2024-06-12,49390
2024-06-13,51650
2024-06-14,54730
2024-06-15,55560
2024-06-16,51610
2024-06-17,65000
2024-06-18,60000
2024-06-19,52600
2024-06-20,52670
2024-06-21,49920
2024-06-22,46640
2024-06-23,48810
2024-06-24,43260
2024-06-25,42570
2024-06-26,44760
2024-06-27,46910
2024-06-28,46420
2024-06-29,44660
2024-06-30,46420
2024-07-01,42630
2024-07-02,43430
2024-07-03,44090
2024-07-04,46210
2024-07-05,47430
2024-07-06,47430
2024-07-07,47940
2024-07-08,49510
2024-07-09,50360
2024-07-10,48680
2024-07-11,49640
2024-07-12,50610
2024-07-13,49980
2024-07-14,52010
2024-07-15,50490
2024-07-16,60250
2024-07-17,61840
2024-07-18,67040
2024-07-19,75660
2024-07-20,73100
2024-07-21,66200
2024-07-22,63570
2024-07-23,65980
2024-07-24,77720
2024-07-25,74050
2024-07-26,82210
2024-07-27,75460
2024-07-28,69540
2024-07-29,79400
2024-07-30,84850
2024-07-31,78630
