"t","Yt","Y(t-1)","Xt"
"1","0.2461275","","0.093375848"
"2","0.23720816","0.2461275","0.096051425"
"3","0.22674692","0.23720816","0.098833757"
"4","0.2438587","0.22674692","0.101365131"
"5","0.22571169","0.2438587","0.103792757"
"6","0.23094177","0.22571169","0.106526397"
"7","0.25254655","0.23094177","0.109450007"
"8","0.29748046","0.25254655","0.112517638"
"9","0.31061253","0.29748046","0.115657496"
"10","0.32916102","0.31061253","0.118833699"
"11","0.3564182","0.32916102","0.122039843"
"12","0.39370114","0.3564182","0.125288516"
"13","0.4003785","0.39370114","0.128555052"
"14","0.41102976","0.4003785","0.131843849"
"15","0.45932037","0.41102976","0.135173656"
"16","0.59782016","0.45932037","0.138533539"
"17","0.66504407","0.59782016","0.141953163"
"18","0.65750897","0.66504407","0.14543483"
"19","0.6402667","0.65750897","0.148950537"
"20","0.66121346","0.6402667","0.152485036"
"21","0.68018353","0.66121346","0.156052154"
"22","0.66240597","0.68018353","0.159651382"
"23","0.6927793","0.66240597","0.163251124"
"24","0.73343474","0.6927793","0.166776182"
"25","0.722298","0.73343474","0.170175064"
"26","0.71846354","0.722298","0.173511158"
"27","0.7554084","0.71846354","0.176855069"
"28","0.7358152","0.7554084","0.180201637"
"29","0.8513446","0.7358152","0.183501097"
"30","0.9433742","0.8513446","0.186778237"
"31","1.0575962","0.9433742","0.190043743"
"32","1.1218932","1.0575962","0.193305171"
"33","1.1253953","1.1218932","0.19659183"
"34","1.1224906","1.1253953","0.199888054"
"35","1.2566929","1.1224906","0.203204352"
"36","1.3680507","1.2566929","0.20653609"
"37","1.1764085","1.3680507","0.209826791"
"38","1.3839109","1.1764085","0.213004666"
"39","1.3141832","1.3839109","0.216077791"
"40","1.4601983","1.3141832","0.219097906"
"41","1.4014755","1.4601983","0.222088499"
"42","1.5212358","1.4014755","0.225048004"
"43","1.5182068","1.5212358","0.227926647"
"44","1.5192718","1.5182068","0.230871649"
"45","1.4954154","1.5192718","0.23395165"
"46","1.6514556","1.4954154","0.237062339"
"47","1.5370413","1.6514556","0.240157901"
"48","1.6554897","1.5370413","0.243220024"
"49","1.8269529","1.6554897","0.246305326"
"50","2.0264078","1.8269529","0.249470029"
"51","2.0619888","2.0264078","0.252698526"
"52","1.9309183","2.0619888","0.255852466"
"53","1.9041111","1.9309183","0.258877397"
"54","2.0809183","1.9041111","0.261799249"
"55","2.0625758","2.0809183","0.264627428"
"56","2.1056583","2.0625758","0.267346655"
"57","2.2245428","2.1056583","0.269951847"
"58","2.4144928","2.2245428","0.272489379"
"59","2.2290483","2.4144928","0.274814864"
"60","2.2499223","2.2290483","0.276758056"
